prop_name,prop_proven,time,num_lemmas_attempted,num_lemmas,num_raw_eqs,num_evals,num_proved_lemmas,num_unproved_lemmas,proved_lemmas,unproved_lemmas,prop
prop_1,False,,0,,,,,,,,
prop_10,False,,0,,,,,,,,
prop_11,False,,0,,,,,,,,
prop_12,False,,0,,,,,,,,
prop_13,False,,0,,,,,,,,
prop_14,False,,0,,,,,,,,
prop_15,False,,0,,,,,,,,
prop_16,False,,0,,,,,,,,
prop_17,False,,0,,,,,,,,
prop_18,False,,0,,,,,,,,
prop_19,False,,0,,,,,,,,
prop_2,False,,0,,,,,,,,
prop_20,False,,0,,,,,,,,
prop_21,False,,0,,,,,,,,
prop_22,False,,0,,,,,,,,
prop_23,False,,0,,,,,,,,
prop_24,False,,0,,,,,,,,
prop_25,False,,0,,,,,,,,
prop_26,False,,0,,,,,,,,
prop_27,False,,0,,,,,,,,
prop_28,False,,0,,,,,,,,
prop_29,False,,0,,,,,,,,
prop_3,False,,0,,,,,,,,
prop_30,False,,0,,,,,,,,
prop_31,False,,0,,,,,,,,
prop_32,False,,0,,,,,,,,
prop_33,False,,0,,,,,,,,
prop_34,False,,0,,,,,,,,
prop_35,False,,0,,,,,,,,
prop_36,False,,0,,,,,,,,
prop_37,False,,0,,,,,,,,
prop_38,False,,0,,,,,,,,
prop_39,False,,0,,,,,,,,
prop_4,False,,0,,,,,,,,
prop_40,False,,0,,,,,,,,
prop_41,False,,0,,,,,,,,
prop_42,False,,0,,,,,,,,
prop_43,False,,0,,,,,,,,
prop_44,False,,0,,,,,,,,
prop_45,False,,0,,,,,,,,
prop_46,False,,0,,,,,,,,
prop_47,False,,0,,,,,,,,
prop_48,False,,0,,,,,,,,
prop_49,False,,0,,,,,,,,
prop_5,False,,0,,,,,,,,
prop_50,False,,0,,,,,,,,
prop_51,False,,0,,,,,,,,
prop_52,False,,0,,,,,,,,
prop_53,False,,0,,,,,,,,
prop_54,False,,0,,,,,,,,
prop_55,False,,0,,,,,,,,
prop_56,False,,0,,,,,,,,
prop_57,False,,0,,,,,,,,
prop_58,False,,0,,,,,,,,
prop_59,False,,0,,,,,,,,
prop_6,False,,0,,,,,,,,
prop_60,False,,0,,,,,,,,
prop_61,False,,0,,,,,,,,
prop_62,False,,0,,,,,,,,
prop_63,False,,0,,,,,,,,
prop_64,False,,0,,,,,,,,
prop_65,False,,0,,,,,,,,
prop_66,False,,0,,,,,,,,
prop_67,False,,0,,,,,,,,
prop_68,False,,0,,,,,,,,
prop_69,False,,0,,,,,,,,
prop_7,False,,0,,,,,,,,
prop_70,False,,0,,,,,,,,
prop_71,False,,0,,,,,,,,
prop_72,False,,0,,,,,,,,
prop_73,False,,0,,,,,,,,
prop_74,False,,0,,,,,,,,
prop_75,False,,0,,,,,,,,
prop_76,False,,0,,,,,,,,
prop_77,False,,0,,,,,,,,
prop_78,False,,0,,,,,,,,
prop_79,False,,0,,,,,,,,
prop_8,False,,0,,,,,,,,
prop_80,False,,0,,,,,,,,
prop_81,False,,0,,,,,,,,
prop_82,False,,0,,,,,,,,
prop_83,False,,0,,,,,,,,
prop_84,False,,0,,,,,,,,
prop_85,False,,0,,,,,,,,
prop_86,False,,0,,,,,,,,
prop_87,False,,0,,,,,,,,
prop_9,False,,0,,,,,,,,
